date,horas_sueno,calorias,fuerza,cardio_min,pasos,peso,estres,alcohol,sleep_7d,calories_7d,stress_7d,training_consistency,weight_trend,cardio_calorie_ratio,recovery_index,day_of_week,is_weekend
2025-10-23,0.14718273,-0.061442688,-0.44981927,-0.119821005,-0.040611587,0.013171024,-0.031924862,0.00013065082,0.08409553,-0.036612686,-0.09052068,0.017506272,-0.023084119,-0.0055600065,-0.16568428,-0.073453516,-0.009300176
2025-10-24,-0.101786576,-0.076217495,0.96412915,-0.042507857,-0.07188946,0.018166501,-0.021099124,0.008096656,-0.008069694,-0.018574765,-0.055336367,0.061479982,0.005638523,-0.01250341,-0.10400455,0.06033351,-0.010848072
2025-10-25,-0.49782696,0.0026240826,1.0475593,-0.039087538,-0.013016981,0.01918068,-0.06412845,0.010836601,0.02054585,-0.02853618,-0.08054109,0.05836116,0.004300641,0.0073764483,-0.16436484,0.10680819,0.026059926
2025-10-26,-0.042172633,0.009959747,0.6129362,0.102237046,-0.027230643,0.023260599,-0.033201043,0.007863002,-0.048600774,-0.029563524,-0.20421855,0.061673008,-0.0050009605,0.04264945,-0.092790715,0.6203651,0.033572078
2025-10-27,0.33566386,-0.052478384,-0.31862387,0.19663179,-0.002199482,-0.008510222,-0.029256338,0.0012077069,-0.028568864,-0.118216395,-0.12901549,0.016784202,0.019293498,-0.010780126,-0.11765317,-0.33399716,-0.020176535
2025-10-28,-0.5404494,-0.037336033,0.8328699,0.07329526,-0.021380715,0.015921962,-0.01613754,0.00269744,-0.0028140482,-0.021502227,-0.14604275,0.033632502,-0.00275561,0.038078718,-0.06459591,-0.20263657,-0.008822271
2025-10-29,0.25227144,-0.04057175,-0.38583434,0.14154173,-0.046611972,-0.017081432,0.03954729,0.002987418,-0.047597017,-0.082335755,-0.103388816,0.026241586,0.031012382,0.098047845,0.26440266,-0.07838233,-0.016480943
2025-10-30,0.19214837,-0.009731037,-0.48390898,-0.106390126,0.00783146,-0.008891688,0.015727205,-0.0051480266,-0.062472984,-0.022273056,-0.08527487,0.022110807,0.003261472,0.00095185137,0.030144159,-0.06395226,-0.012360821
2025-10-31,0.2739195,-0.017303959,-0.36580744,0.17599761,-0.018376067,-0.039792318,0.053791434,0.0026219534,-0.022093821,-0.091212265,-0.014876293,0.021078436,0.014455025,0.021567771,0.28377455,0.003927589,-0.025093114
2025-11-01,0.17671633,0.10234972,0.6584263,0.14146204,-0.0067784768,0.008880943,-0.00264437,0.011726396,0.051951505,-0.0068389648,0.032301206,0.04622866,5.3453798e-05,0.0012829395,-0.013572131,0.17398852,0.012798946
2025-11-02,0.36059317,0.03234255,-0.36011142,-0.137895,-0.018839821,-0.0037035472,-0.019246437,0.0010658468,-0.019537179,-0.014176527,0.080844544,0.0011108979,0.032610513,-0.02011162,-0.033245772,0.45558816,0.041362666
2025-11-03,0.30308443,0.17000733,-0.22140664,0.20320156,-0.03442119,0.02407608,-0.015818603,0.00058605854,0.09884443,-0.037298482,0.07697038,0.0022986822,-0.00048822068,0.01016017,-0.06800775,-0.28191802,-0.0037203915
2025-11-04,-0.41580608,-0.0644713,-0.45479953,0.111109056,0.12306841,0.013466877,-0.015543784,0.0010263058,0.098451465,-0.08845423,0.09752006,-0.10716616,-0.020371854,0.042229127,-0.096674666,-0.15216294,-0.013079171
2025-11-05,-0.5804682,-0.010774412,0.98030615,-0.043886956,-0.011478737,-0.0022871334,-0.01505855,0.002301196,0.05030166,0.008322832,0.0133871585,-0.06427255,-0.02823922,0.013067199,-0.14377306,0.011870028,-0.010032321
2025-11-06,0.31998876,0.002348424,-0.38337535,0.2762486,-0.03776158,0.008716778,-0.025109392,0.001886541,-0.03735926,0.035512052,-0.08586273,-0.012435758,-0.006604474,0.010436853,-0.08477581,-0.050855123,-0.019944645
2025-11-07,-0.2549464,-0.015078309,-0.4978136,0.15199314,-0.036507603,-0.006831415,0.029833505,0.0018430144,-0.030650536,-0.03573168,-0.07844471,-0.010404071,-0.027792836,0.08334713,0.049233902,-0.031466667,-0.015507274
2025-11-08,0.2989717,-0.36820868,-0.38786104,0.24145694,0.0064144675,0.012256888,0.018708019,0.004129093,-0.02826561,-0.10121349,-0.08933765,-0.07376942,0.02434666,0.04071113,0.05697439,0.04799523,0.030442769
2025-11-09,0.114073195,0.04882189,-0.3304705,0.21256573,-0.03565182,0.037018597,-0.012925958,0.001453285,-0.04259096,-0.039786454,-0.0462445,-0.04341994,0.010046264,0.010371649,-0.062677786,0.51249826,0.012710984
2025-11-10,0.388818,-0.057727166,-0.30297342,0.20984374,-0.017347673,0.001935341,-0.027106725,0.0006099672,0.009934132,-0.11590334,-0.095534936,-0.04600844,0.009860901,0.0018674611,-0.11823478,-0.33610415,-0.02618305
2025-11-11,-0.12652324,0.0986544,-0.4114663,-0.07961375,-0.02780322,0.028788973,-0.020407358,-0.00039209047,0.00045577763,0.0099979965,-0.06046465,-0.05363363,0.024932286,-0.006305958,-0.089811966,-0.13397895,-0.0071867164
2025-11-12,-0.4209929,-0.016439598,0.8530502,0.07042612,-0.025852041,-0.049216338,0.059537586,0.006609705,0.12039458,-0.021153245,0.0047673034,-0.15509455,-0.036482383,0.049169343,0.18498053,0.027697586,-0.011091831
2025-11-13,0.110381424,-0.011591738,0.70819205,-0.04457788,0.015087569,-0.04090858,0.0023709256,-0.033726223,0.059194308,-0.031596012,0.03267602,-0.04211174,0.03426052,0.0053625694,-0.020252142,0.037751827,-0.0095908
2025-11-14,0.28887954,0.1973724,-0.41064626,-0.13586272,-0.051377583,-0.019039417,-0.015347303,-0.00072219723,0.05415329,0.037192415,0.00564825,-0.016425626,0.012858715,-0.019454883,-0.046647258,0.039094217,-0.0067847585
2025-11-15,0.38239264,-0.08746949,-0.40042707,-0.1298308,-0.024337562,-0.01867793,-0.024536055,-0.00014949703,0.07777549,0.04090265,-0.079239696,-0.008255403,0.0012721498,0.010691926,-0.103028476,0.07298612,0.043867167
